KomKode;Y;X;KmsCellId;NBefPer;Dagbefolk
185;6167050;726750;100M_61670_7267;2;0
185;6167050;726850;100M_61670_7268;4;0
155;6167050;728450;100M_61670_7284;7;0
155;6167050;728550;100M_61670_7285;8;1
155;6167050;728650;100M_61670_7286;8;2
155;6167050;728750;100M_61670_7287;3;1
155;6167050;728850;100M_61670_7288;15;0
155;6167050;728950;100M_61670_7289;0;11
155;6167050;729050;100M_61670_7290;12;0
155;6167050;729150;100M_61670_7291;0;814
155;6167050;729650;100M_61670_7296;6;0
155;6167050;729750;100M_61670_7297;20;0
155;6167050;729950;100M_61670_7299;3;0
155;6167050;730250;100M_61670_7302;1;0
155;6167050;730350;100M_61670_7303;6;1
155;6167050;730450;100M_61670_7304;11;0
155;6167050;730550;100M_61670_7305;32;3
155;6167050;730650;100M_61670_7306;26;22
155;6167050;730750;100M_61670_7307;19;1
155;6167050;730850;100M_61670_7308;25;2
155;6167050;730950;100M_61670_7309;27;1
155;6167050;731050;100M_61670_7310;34;118
155;6167050;731150;100M_61670_7311;45;10
